"""Remember Me"" Default Value","""Zapamti me"" Default Value"
"(Not %s?)","(Nije %s?)"
"* Required Fields","* Obavezna polja"
"Address","Adresa"
"Address Information","Adresa"
"Already registered?","Već ste registrirani?"
"Back","Natrag"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ako se registrirate moći ćete izraditi narudžbu brže, pregledavati narudžbe, račun i više."
"Cannot load configuration from file %s.","Ne mogu učitati konfiguraciju iz datoteke %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Odaberite &quot;Zapamti Me&quot; i moći ćete pristupiti košarici i kad ste odjavljeni."
"Checking ""Remember Me"" will let you access your shopping cart on this computer when you are logged out","Odaberite &quot;Zapamti Me&quot; i moći ćete pristupiti košarici i kad ste odjavljeni."
"Checkout as Guest","Checkout kao gost"
"Checkout as a Guest","Checkout kao gost"
"Checkout as a Guest or Register","Checkout kao gost ili se registrirajte"
"City","Grad"
"Clear Persistence on Log Out","Obriši sesiju nakon odjave"
"Close","Zatvori"
"Company","Poduzeće"
"Confirm Password","Potvrda lozinke"
"Continue","Nastavak"
"Country","Država"
"Create an Account","Izradi korisnički račun"
"Easy access to your order history and status","Lako pristupanje povijesti narudžbi i statusu"
"Email Address","Email Adresa"
"Enable ""Remember Me""","Omogući ""Zapamti me"""
"Enable Persistence","Omogući trajnost (presistance)"
"Fast and easy check out","Brzi i laki checkout"
"Faster checkout","Brži checkout"
"Fax","Fax"
"Forgot Your Password?","Zaboravili ste lozinku?"
"Forgot your password?","Zaboravili ste lozinku?"
"General Options","Generalne opcije"
"If you have an account with us, please log in.","Ako imate korisnički račun, molimo prijavite se "
"Loading next step...","Prijavite se za slijedeći korak..."
"Login","Prijava"
"Login Information","Informacije za prijavu"
"Login or Create an Account","Prijava ili Izrada računa"
"New Customers","Novi korisnici"
"New Here?","Novi ste?"
"Password","Lozinka"
"Persist Shopping Cart","Zapamti Košaricu"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Osobne informacije"
"Please enter the following information to create your account.","Molim unesite slijedeće informacije i kreirajte korisnički račun."
"Please log in below:","Molim prijavite se:"
"Please select region, state or province","Odaberite županiju ili regiju"
"Register","Registracija"
"Register and Checkout","Registracija i Checkout"
"Register and save time!","Registriraj se i uštedi vrijeme!"
"Register to Create an Account","Registriraj se za izradu korisničkog računa"
"Register with us for future convenience:","Registrirajte se za buduće lakše korištenje:"
"Registered Customers","Registrirani Korisnici"
"Registration is free and easy!","Registracija je besplatna i laka!"
"Remember Me","Zapamti me"
"Returning Customers","Korisnici"
"Save in address book","Spremi u adresar"
"Save multiple shipping addresses","Spremi više adresa za slanje"
"Select State/Province...",Odaberi županiju..."
"Select a billing address from your address book or enter a new address.","Odaberite adresu za plaćanje iz adresara ili unesite novu."
"Ship to different address","Šalji na drugu adresu"
"Ship to this address","Šalji na ovu adresu"
"Shopping cart has been updated with appropriate prices","Košarica je ažurirana sa novim cijenama"
"Sign Up for Newsletter","Prijavi se na Newsletter"
"Sign in to speed up your checkout process","Prijavite se za bržu narudžbu"
"State/Province","Županija"
"Street Address","Ulica"
"Street Address %s","Ulica %s"
"Submit","Pošalji"
"Telephone","Tel"
"To proceed to Checkout, please log in using your email address.","Za nastavak narudžbe, molimo prijavite se sa svojom e-mail adresom."
"VAT Number","OIB"
"View and track orders and more","Pogledaj, prati narudžbe i više."
"Welcome, %s!","Dobrodošli, %s!"
"What's this?","Što je ovo?"
"What\'s this?","Što je ovo?"
"Zip/Postal Code","Poštanski broj"
