"Actions","Akcije"
"Active","Aktivan"
"Add New Rule","Dodaj novo pravilo"
"Apply","Primjeni"
"Apply the rule only if the following conditions are met (leave blank for all products)","Primjeni pravilo samo ako su ispunjeni slijedeći uvjeti (ostavite prazno za sve proizvode)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Primjeni pravilo samo na artikle u košarici za koje su ispunjeni slijedeći uvjeti (ostavite prazno za sve artikle)"
"Apply the rule to cart items matching the following conditions","Primjeni pravilo na artikle u košarici za koje su ispunjeni slijedeći uvjeti"
"Apply to","Primjeni na"
"Buy X get Y free (discount amount is Y)","Kupi X uzmi Y besplatno (iznos popusta je Y)"
"By Fixed Amount","Po fiksnom iznosu"
"By Fixed value","Po fiksnoj vrijednosti"
"By Percentage","Po postotku"
"By Percentage of the original price","Po postotku originalne cijene"
"Cart Attribute","Atribut košarice"
"Catalog","Katalog"
"Conditions","Uvjeti"
"Conditions combination","Kombinacija uvjeta"
"Coupon Code","Kuponski Kod"
"Coupon code","Kuponski kod"
"Customer Groups","Grupe kupaca"
"Customer is new buyer: %s","Klijent je novi kupac: %s"
"Customer registered: %s","Klijent registriran: %s"
"Date Expire","Datum isteka"
"Date Start","Datum početka"
"Delete Rule","Obriši pravilo"
"Description","Opis"
"Description: %s","Opis: %s"
"Discount Qty Step (Buy X)","Granica količine (Kupi X)"
"Discount amount","Iznos popusta"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Izmijeni pravilo '%s'"
"Expire at: %s","Ističe na dan: %s"
"Fixed amount discount","Popust sa fiksnim iznosom"
"Fixed amount discount for whole cart","Popust sa fiksnim iznosom za čitavu košaricu"
"For matching items only","Samo za artikle za koje su ispunjeni zadani uvjeti"
"For shipment with matching items","Za isporuku uz artikle za koje su ispunjeni zadani uvjeti"
"Free shipping","Besplatna dostava"
"From Date","Od datuma"
"General Information","Opće informacije"
"ID","ID"
"Inactive","Neaktivno"
"Maximum Qty Discount is Applied To","Popust za maksimalnu količinu je primjenjen na"
"NOT LOGGED IN","NEPRIJAVLJENI"
"Name: %s","Ime: %s"
"New Rule","Novo pravilo"
"No","Ne"
"Payment Method","Način plaćanja"
"Percent of product price discount","Postotak popusta na cijenu proizvoda"
"Price in cart","Cijena košarice"
"Priority","Prioritet"
"Product attribute combination","Kombinacija atributa proizvoda"
"Products subselection","Pododabir proizvoda"
"Promotions","Promocije"
"Public In RSS Feed","Javno u RSS-u"
"Quantity in cart","Količina u košarici"
"Row total in cart","Redak ukupno u košarici"
"Rule Information","Informacija o pravilu"
"Rule Name","Naziv pravila"
"Rule was successfully deleted","Pravilo je uspješno obrisano"
"Rule was successfully saved","Pravilo je uspješno spremljeno"
"Save Rule","Spremi pravilo"
"Shipping Country","Isporuka u zemlju"
"Shipping Method","Način isporuke"
"Shipping Postcode","Poštanski broj isporuke"
"Shipping Region","Regija isporuke"
"Shipping State/Province","Regija/županija isporuke"
"Shopping Cart Price Rule","Cjenovno pravilo košarice"
"Shopping Cart Price Rules","Cjenovna pravila košarice"
"Special price","Posebna cijena"
"Start at: %s","Počni od: %s"
"Status","Status"
"Stop Further Rules Processing","Zaustavi dodatna pravila"
"Subtotal","Ukupno"
"The page you are trying to save no longer exists","Stranica koju pokušavate spremiti više ne postoji"
"This rule no longer exists","Pravilo više ne postoji"
"To Date","Do dana"
"To Fixed Amount","Do fiksne količine"
"To Fixed Value","Do fiksne vrijednosti"
"To Percentage","Do postotka"
"To Percentage of the original price","Do postotka od originalne cijene"
"Total Items Quantity","Ukupna količina artikala"
"Total Weight","Ukupna težina"
"Unable to find a page to delete","Nije moguće pronaći stranicu za brisanje"
"Update prices using the following information","Ažuriraj cijene korištenjem slijedećih informacija"
"Update product's %s %s: %s","Ažuriraj proizvod(e) %s %s: %s"
"Update the Product","Ažuriraj proizvod"
"Uses per coupon","Korištenja po kuponu"
"Uses per customer","Korištenja po klijentu"
"Yes","Da"
"Enable Discount to Subproducts","Dozvoli popust na podkategorije"
"Apply to Shipping Amount","Primjeni na cijenu dostave"
"Default Rule Label for All Store Views","Zadana labela za sve poglede"
"Default Label","Zadana labela"
"Store View Specific Labels","Specifične labele za poglede trgovina"
"Labels","Labele"
"Manage Coupon Codes","Menadžment Kupona"

